artist,album,track,state,machine,datetime
Various,Cafe Del Mar - Volume Seis,02 - Track 02.mp3,Playing,richard-lm,2025-11-29 07:06:32.694998
Various,Cafe Del Mar - Volume Seis,02 - Track 02.mp3,Stopped,richard-lm,2025-11-29 07:06:42.519323
Korn,Issues,01 - Dead.mp3,Playing,richard-lm,2025-11-29 07:06:42.580113
Korn,Issues,01 - Dead.mp3,Stopped,richard-lm,2025-11-29 07:06:43.597338
Skrillex,My Name Is Skrillex,01 - My Name Is Skrillex.mp3,Playing,richard-lm,2025-11-29 07:06:43.682716
Skrillex,My Name Is Skrillex,01 - My Name Is Skrillex.mp3,Stopped,richard-lm,2025-11-29 07:06:44.787360
Bloodhound Gang,Use Your Fingers,01 - Rip Taylor Is God.mp3,Playing,richard-lm,2025-11-29 07:06:44.839985
Bloodhound Gang,Use Your Fingers,01 - Rip Taylor Is God.mp3,Stopped,richard-lm,2025-11-29 07:06:46.336229
Corrosion Of Conformity,Blind,01 - These Shrouded Temples.mp3,Playing,richard-lm,2025-11-29 07:06:46.383402
Corrosion Of Conformity,Blind,01 - These Shrouded Temples.mp3,Stopped,richard-lm,2025-11-29 07:06:49.371138
Corrosion Of Conformity,Blind,01 - These Shrouded Temples.mp3,Playing,richard-lm,2025-11-29 07:06:54.983628
Corrosion Of Conformity,Blind,01 - These Shrouded Temples.mp3,Stopped,richard-lm,2025-11-29 07:09:17.146627
Corrosion Of Conformity,Blind,01 - These Shrouded Temples.mp3,Playing,richard-lm,2025-11-29 07:09:20.268752
Corrosion Of Conformity,Blind,01 - These Shrouded Temples.mp3,Stopped,richard-lm,2025-11-29 07:09:33.043850
Corrosion Of Conformity,Blind,02 - Damned For All Time.mp3,Playing,richard-lm,2025-11-29 07:09:33.055333
Corrosion Of Conformity,Blind,02 - Damned For All Time.mp3,Stopped,richard-lm,2025-11-29 07:15:25.478508
Corrosion Of Conformity,Blind,03 - Dance Of The Dead.mp3,Playing,richard-lm,2025-11-29 07:15:25.490146
Corrosion Of Conformity,Blind,03 - Dance Of The Dead.mp3,Paused,richard-lm,2025-11-29 07:17:30.931871
Corrosion Of Conformity,Blind,03 - Dance Of The Dead.mp3,Playing,richard-lm,2025-11-29 07:17:31.780535
Corrosion Of Conformity,Blind,03 - Dance Of The Dead.mp3,Stopped,richard-lm,2025-11-29 07:19:55.806006
Corrosion Of Conformity,Blind,04 - Buried.mp3,Playing,richard-lm,2025-11-29 07:19:55.846251
Corrosion Of Conformity,Blind,04 - Buried.mp3,Stopped,richard-lm,2025-11-29 07:25:14.577114
Corrosion Of Conformity,Blind,05 - Break The Circle.mp3,Playing,richard-lm,2025-11-29 07:25:14.611770
Corrosion Of Conformity,Blind,05 - Break The Circle.mp3,Stopped,richard-lm,2025-11-29 07:29:25.376922
Corrosion Of Conformity,Blind,06 - Painted Smiling Face.mp3,Playing,richard-lm,2025-11-29 07:29:25.409148
Corrosion Of Conformity,Blind,06 - Painted Smiling Face.mp3,Stopped,richard-lm,2025-11-29 07:33:49.564626
Corrosion Of Conformity,Blind,07 - Mine Are The Eyes Of God.mp3,Playing,richard-lm,2025-11-29 07:33:49.577339
Corrosion Of Conformity,Blind,07 - Mine Are The Eyes Of God.mp3,Stopped,richard-lm,2025-11-29 07:37:46.583563
Corrosion Of Conformity,Blind,07 - Mine Are The Eyes Of God.mp3,Playing,richard-lm,2025-11-29 07:37:52.343981
Corrosion Of Conformity,Blind,07 - Mine Are The Eyes Of God.mp3,Paused,richard-lm,2025-11-29 07:38:32.291133
Corrosion Of Conformity,Blind,07 - Mine Are The Eyes Of God.mp3,Playing,richard-lm,2025-11-29 07:38:33.086413
Corrosion Of Conformity,Blind,07 - Mine Are The Eyes Of God.mp3,Stopped,richard-lm,2025-11-29 07:38:56.828889
Corrosion Of Conformity,Blind,08 - Shallow Ground.mp3,Playing,richard-lm,2025-11-29 07:38:56.844217
Corrosion Of Conformity,Blind,08 - Shallow Ground.mp3,Stopped,richard-lm,2025-11-29 07:39:27.268810
Corrosion Of Conformity,Blind,08 - Shallow Ground.mp3,Playing,richard-lm,2025-11-29 07:39:31.931105
Corrosion Of Conformity,Blind,08 - Shallow Ground.mp3,Stopped,richard-lm,2025-11-29 07:41:23.970687
Corrosion Of Conformity,Blind,09 - Vote With A Bullet.mp3,Playing,richard-lm,2025-11-29 07:41:23.987492
Corrosion Of Conformity,Blind,09 - Vote With A Bullet.mp3,Stopped,richard-lm,2025-11-29 07:44:51.568347
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:44:51.582920
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Stopped,richard-lm,2025-11-29 07:45:08.807970
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:46:20.502551
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Paused,richard-lm,2025-11-29 07:46:23.543738
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:46:24.118973
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Stopped,richard-lm,2025-11-29 07:47:42.391980
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:47:45.599306
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Stopped,richard-lm,2025-11-29 07:48:01.406957
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:48:04.381500
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Stopped,richard-lm,2025-11-29 07:48:33.618859
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:48:37.247229
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Paused,richard-lm,2025-11-29 07:48:41.828254
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:48:42.554497
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Stopped,richard-lm,2025-11-29 07:49:59.861044
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:50:02.925002
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Paused,richard-lm,2025-11-29 07:50:06.903423
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:50:07.853708
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Stopped,richard-lm,2025-11-29 07:50:24.835941
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:50:27.900410
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Stopped,richard-lm,2025-11-29 07:50:55.902722
Corrosion Of Conformity,Blind,11 - White Noise.mp3,Playing,richard-lm,2025-11-29 07:50:55.939092
Corrosion Of Conformity,Blind,10 - Great Purification.mp3,Playing,richard-lm,2025-11-29 07:53:34.567409
Corrosion Of Conformity,Blind,11 - White Noise.mp3,Stopped,richard-lm,2025-11-29 07:53:45.610297
Corrosion Of Conformity,Blind,11 - White Noise.mp3,Playing,richard-lm,2025-11-29 07:53:50.218694
Corrosion Of Conformity,Blind,11 - White Noise.mp3,Stopped,richard-lm,2025-11-29 07:55:20.213447
Corrosion Of Conformity,Blind,12 - Echoes In The Well.mp3,Playing,richard-lm,2025-11-29 07:55:20.267611
Corrosion Of Conformity,Blind,12 - Echoes In The Well.mp3,Stopped,richard-lm,2025-11-29 08:00:53.679889
Corrosion Of Conformity,Blind,13 - Remain.mp3,Playing,richard-lm,2025-11-29 08:00:53.743969
Corrosion Of Conformity,Blind,13 - Remain.mp3,Stopped,richard-lm,2025-11-29 08:01:49.923937
Corrosion Of Conformity,Blind,14 - Condition A-Condition B [Bonus Track].mp3,Playing,richard-lm,2025-11-29 08:01:49.967481
Corrosion Of Conformity,Blind,14 - Condition A-Condition B [Bonus Track].mp3,Stopped,richard-lm,2025-11-29 08:01:53.089536
Corrosion Of Conformity,Blind,15 - Future Now [MC5 cover] [Bonus Track].mp3,Playing,richard-lm,2025-11-29 08:01:53.143421
Corrosion Of Conformity,Blind,15 - Future Now [MC5 cover] [Bonus Track].mp3,Stopped,richard-lm,2025-11-29 08:01:54.109138
Corrosion Of Conformity,Blind,16 - Jim Beam And The Coon Ass [Bonus Track].mp3,Playing,richard-lm,2025-11-29 08:01:54.150248
Corrosion Of Conformity,Blind,16 - Jim Beam And The Coon Ass [Bonus Track].mp3,Stopped,richard-lm,2025-11-29 08:01:57.297611
Various,Grease,01 - Frankie Valli - Grease.mp3,Playing,richard-lm,2025-11-29 08:01:57.354206
Various,Grease,01 - Frankie Valli - Grease.mp3,Stopped,richard-lm,2025-11-29 08:01:59.527036
24-7 Spyz,Gumbo Millenium,01 - John Connelly's Theory.mp3,Playing,richard-lm,2025-11-29 08:01:59.574948
24-7 Spyz,Gumbo Millenium,01 - John Connelly's Theory.mp3,Stopped,richard-lm,2025-11-29 08:02:01.447955
Professor Trance And The Energisers,Shaman'S Breath,01 - Spirit catcher.mp3,Playing,richard-lm,2025-11-29 08:02:01.500496
Professor Trance And The Energisers,Shaman'S Breath,01 - Spirit catcher.mp3,Stopped,richard-lm,2025-11-29 08:02:03.694873
Black Sun Empire,Lights and Wires (Disc 2),01 - Receptor - Kurchatov.mp3,Playing,richard-lm,2025-11-29 08:02:03.721443
Black Sun Empire,Lights and Wires (Disc 2),01 - Receptor - Kurchatov.mp3,Stopped,richard-lm,2025-11-29 08:06:39.735349
Black Sun Empire,Lights and Wires (Disc 2),02 - BSE & D_ Kay - Bullet in the Head [Gridlok Remix].mp3,Playing,richard-lm,2025-11-29 08:06:39.756839
Black Sun Empire,Lights and Wires (Disc 2),02 - BSE & D_ Kay - Bullet in the Head [Gridlok Remix].mp3,Stopped,richard-lm,2025-11-29 08:08:19.214786
Black Sun Empire,Lights and Wires (Disc 2),03 - BSE & Nymfo - Kempi.mp3,Playing,richard-lm,2025-11-29 08:08:19.231101
Black Sun Empire,Lights and Wires (Disc 2),03 - BSE & Nymfo - Kempi.mp3,Stopped,richard-lm,2025-11-29 08:10:09.710083
Black Sun Empire,Lights and Wires (Disc 2),04 - BSE - Chaingang.mp3,Playing,richard-lm,2025-11-29 08:10:09.729426
Black Sun Empire,Lights and Wires (Disc 2),04 - BSE - Chaingang.mp3,Stopped,richard-lm,2025-11-29 08:12:22.285537
Black Sun Empire,Lights and Wires (Disc 2),05 - Gridlok - Wake Up [BSE Remix]; Nphect - Musclecar.mp3,Playing,richard-lm,2025-11-29 08:12:22.328314
Black Sun Empire,Lights and Wires (Disc 2),05 - Gridlok - Wake Up [BSE Remix]; Nphect - Musclecar.mp3,Stopped,richard-lm,2025-11-29 08:12:41.126262
Thievery Corporation,Culture Of Fear,01 - Web of Deception.mp3,Playing,richard-lm,2025-11-29 08:12:41.183218
Thievery Corporation,Culture Of Fear,01 - Web of Deception.mp3,Stopped,richard-lm,2025-11-29 08:12:44.212153
Santana,Supernatural,01 - (Da Le) Yaleo.mp3,Playing,richard-lm,2025-11-29 08:12:44.278880
Santana,Supernatural,01 - (Da Le) Yaleo.mp3,Stopped,richard-lm,2025-11-29 08:18:37.929407
Santana,Supernatural,02 - Love Of My Life.mp3,Playing,richard-lm,2025-11-29 08:18:37.950519
Santana,Supernatural,02 - Love Of My Life.mp3,Stopped,richard-lm,2025-11-29 08:24:25.863034
